case,version,mode,n_total,n_success,p_hat,p_ci_lower,p_ci_upper,p_target_halfwidth,n_required_for_p,sufficient_for_p?,n_success_iter,mean_iterations_success,std_iterations_success,iter_ci_lower,iter_ci_upper,iter_target_halfwidth,n_required_for_iter,sufficient_for_iter?
JetRacer,v3,summarized,8,7,0.875,0.6315519295722754,1.1668499905613336,0.05,168.06382340536794,False,7.0,11.0,6.2182527020592095,6.393538579443836,15.606461420556164,2.0,37.13410193337654,False
Open Energy Monitor,v1,notsummarized,6,2,0.3333333333333333,0.1202378983145026,0.8697541105591517,0.05,341.46300628392225,False,2.0,12.5,6.363961030678928,3.680162069569757,21.319837930430243,2.0,38.89477055952802,False
Open Energy Monitor,v1,summarized,7,6,0.8571428571428571,0.5917010086352428,1.1841020778612248,0.05,188.15308509522248,False,6.0,7.166666666666667,3.1885210782848317,4.615365320826221,9.717968012507113,2.0,9.7637078359309,False
Open Energy Monitor,v2,notsummarized,6,3,0.5,0.23311213635548608,1.0093818702997548,0.05,384.14588206941244,False,3.0,15.666666666666666,1.5275252316519468,13.938140906087924,17.39519242724541,2.0,2.24085097873824,True
Open Energy Monitor,v2,summarized,7,4,0.5714285714285714,0.3043847560464624,1.0230245034429397,0.05,376.30617019044485,False,4.0,11.25,3.8622100754188224,7.4651036757256914,15.034896324274309,2.0,14.325440185505176,False
Open Energy Monitor,v3,notsummarized,8,6,0.75,0.48851429707225413,1.1082895431949642,0.05,288.1094115520593,False,6.0,6.666666666666667,2.581988897471611,4.600683225651462,8.732650107681872,2.0,6.402431367823541,False
Open Energy Monitor,v3,summarized,8,7,0.875,0.6315519295722754,1.1668499905613336,0.05,168.06382340536794,False,7.0,12.714285714285714,6.129553700835696,8.173532225966314,17.25503920260511,2.0,36.08227392294839,False
Stack4Things,v1,notsummarized,8,1,0.125,0.0267576899731027,0.5620557509621611,0.05,168.06382340536794,False,1.0,22.0,0.0,,,2.0,,False
Stack4Things,v1,summarized,8,2,0.25,0.08531813733947236,0.7050933834621823,0.05,288.1094115520593,False,2.0,9.5,4.949747468305833,2.6401260541098113,16.35987394589019,2.0,23.52893527675152,False
Stack4Things,v2,notsummarized,8,1,0.125,0.0267576899731027,0.5620557509621611,0.05,168.06382340536794,False,1.0,5.0,0.0,,,2.0,,False
Stack4Things,v2,summarized,7,0,0.0,4.3559000698765404e-17,0.4306216054752716,0.05,0.0,True,,,,,,2.0,,False
Stack4Things,v3,notsummarized,7,1,0.14285714285714285,0.031208724876411225,0.623609794102393,0.05,188.15308509522242,False,1.0,21.0,0.0,,,2.0,,False
Stack4Things,v3,summarized,6,0,0.0,4.205002975514511e-17,0.48498801331048175,0.05,0.0,True,,,,,,2.0,,False
WordPress,v1,notsummarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,8.333333333333334,7.571877794400365,-0.23489555897826797,16.901562225644938,2.0,55.06090976328246,False
WordPress,v1,summarized,3,2,0.6666666666666666,0.28871626320716287,1.3048399287276138,0.05,341.46300628392225,False,2.0,2.0,1.4142135623730951,0.04003601545994595,3.959963984540054,2.0,1.9207294103470631,True
WordPress,v2,notsummarized,3,2,0.6666666666666666,0.28871626320716287,1.3048399287276138,0.05,341.46300628392225,False,2.0,14.0,0.0,14.0,14.0,2.0,,False
WordPress,v2,summarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,10.666666666666666,3.511884584284246,6.692668171368586,14.640665161964746,2.0,11.84449803047355,False
WordPress,v3,notsummarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,14.666666666666666,10.785793124908958,2.461617035822835,26.871716297510496,2.0,111.72242736852083,False
WordPress,v3,summarized,3,2,0.6666666666666666,0.28871626320716287,1.3048399287276138,0.05,341.46300628392225,False,2.0,5.0,1.4142135623730951,3.040036015459946,6.959963984540054,2.0,1.9207294103470631,True
eWeLink,v1,notsummarized,3,1,0.3333333333333333,0.0854943591745514,1.1016180246950025,0.05,341.46300628392225,False,1.0,4.0,0.0,,,2.0,,False
eWeLink,v1,summarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,8.666666666666666,2.8867513459481287,5.400060025766576,11.933273307566756,2.0,8.003039209779427,False
eWeLink,v2,notsummarized,3,2,0.6666666666666666,0.28871626320716287,1.3048399287276138,0.05,341.46300628392225,False,2.0,16.5,10.606601717798213,1.8002701159495942,31.199729884050406,2.0,108.04102933202228,False
eWeLink,v2,summarized,3,2,0.6666666666666666,0.28871626320716287,1.3048399287276138,0.05,341.46300628392225,False,2.0,20.0,7.0710678118654755,10.20018007729973,29.79981992270027,2.0,48.01823525867657,False
eWeLink,v3,notsummarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,8.0,4.0,3.4736570636953132,12.526342936304687,2.0,15.365835282776501,False
eWeLink,v3,summarized,3,3,1.0,0.6096657120978346,1.3903342879021654,0.05,0.0,True,3.0,16.333333333333332,8.736894948054106,6.44678764999313,26.219879016673534,2.0,73.30783916157957,False
